Make,Model,Engine Fuel Type,Transmission Type,Driven_Wheels,Market Category,Vehicle Size,Vehicle Style,Year,Engine HP,Engine Cylinders,Number of Doors,highway MPG,city mpg,Popularity,MSRP
BMW,3 Series Gran Turismo,premium unleaded (required),AUTOMATIC,all wheel drive,"Hatchback,Luxury",Midsize,4dr Hatchback,2016,240.0,4.0,4.0,34,22,3916,43000
BMW,3 Series Gran Turismo,premium unleaded (required),AUTOMATIC,all wheel drive,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,2016,300.0,6.0,4.0,30,20,3916,49200
BMW,3 Series Gran Turismo,premium unleaded (required),AUTOMATIC,all wheel drive,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,2017,320.0,6.0,4.0,30,20,3916,49650
BMW,3 Series Gran Turismo,premium unleaded (required),AUTOMATIC,all wheel drive,"Hatchback,Luxury",Midsize,4dr Hatchback,2017,248.0,4.0,4.0,33,23,3916,43950
BMW,3 Series,premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,2015,241.0,4.0,4.0,33,22,3916,41950
BMW,3 Series,premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,High-Performance,Hybrid",Midsize,Sedan,2015,335.0,6.0,4.0,33,25,3916,50150
BMW,3 Series,premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,Performance",Midsize,Sedan,2015,240.0,4.0,4.0,35,23,3916,37500
BMW,3 Series,premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,High-Performance",Midsize,Sedan,2015,300.0,6.0,4.0,32,21,3916,43750
BMW,3 Series,diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Midsize,Sedan,2015,180.0,4.0,4.0,45,32,3916,39000
BMW,3 Series,premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,2015,240.0,4.0,4.0,33,22,3916,39500
BMW,3 Series,premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,2015,180.0,4.0,4.0,35,23,3916,34950
BMW,3 Series,premium unleaded (required),AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,2015,300.0,6.0,4.0,30,20,3916,45750
BMW,3 Series,diesel,AUTOMATIC,all wheel drive,"Diesel,Luxury",Midsize,Wagon,2015,180.0,4.0,4.0,43,31,3916,43450
BMW,3 Series,diesel,AUTOMATIC,all wheel drive,"Diesel,Luxury",Midsize,Sedan,2015,180.0,4.0,4.0,43,31,3916,41000
BMW,3 Series,premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,2015,180.0,4.0,4.0,36,24,3916,32950
BMW,3 Series,diesel,AUTOMATIC,all wheel drive,"Diesel,Luxury",Midsize,Sedan,2016,180.0,4.0,4.0,40,30,3916,41850
BMW,3 Series,premium unleaded (required),AUTOMATIC,all wheel drive,"Luxury,High-Performance",Midsize,Sedan,2016,320.0,6.0,4.0,33,22,3916,47800
BMW,3 Series,diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Midsize,Sedan,2016,180.0,4.0,4.0,42,32,3916,39850
BMW,3 Series,premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,Performance",Midsize,Sedan,2016,240.0,4.0,4.0,34,22,3916,38350
BMW,3 Series,premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,2016,240.0,4.0,4.0,34,22,3916,40350
BMW,3 Series,premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Midsize,Sedan,2016,240.0,4.0,4.0,34,22,3916,38350
BMW,3 Series,premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,2016,240.0,4.0,4.0,34,22,3916,42650
BMW,3 Series,premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,2016,180.0,4.0,4.0,36,24,3916,33150
BMW,3 Series,premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,2016,180.0,4.0,4.0,35,23,3916,35150
BMW,3 Series,diesel,AUTOMATIC,all wheel drive,"Diesel,Luxury",Midsize,Wagon,2016,180.0,4.0,4.0,40,30,3916,44150
BMW,3 Series,premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,High-Performance",Midsize,Sedan,2016,320.0,6.0,4.0,33,22,3916,45800
BMW,3 Series,premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Luxury,Performance",Midsize,Sedan,2017,248.0,4.0,4.0,34,23,3916,38750
BMW,3 Series,premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,2017,180.0,4.0,4.0,34,23,3916,35450
BMW,3 Series,premium unleaded (recommended),AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,2017,180.0,4.0,4.0,35,23,3916,33450
BMW,3 Series,premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,2017,248.0,4.0,4.0,33,23,3916,40750
BMW,3 Series,diesel,AUTOMATIC,all wheel drive,"Diesel,Luxury",Midsize,Sedan,2017,180.0,4.0,4.0,40,30,3916,42250
BMW,3 Series,premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,2017,248.0,4.0,4.0,33,23,3916,42950
BMW,3 Series,diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Midsize,Sedan,2017,180.0,4.0,4.0,42,32,3916,40250
BMW,3 Series,premium unleaded (recommended),AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,2017,320.0,6.0,4.0,31,21,3916,49900
BMW,3 Series,premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Luxury,High-Performance",Midsize,Sedan,2017,320.0,6.0,4.0,32,21,3916,47900
BMW,3 Series,diesel,AUTOMATIC,all wheel drive,"Diesel,Luxury",Midsize,Wagon,2017,180.0,4.0,4.0,40,30,3916,44450
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,1991,177.0,6.0,4.0,19,15,617,2232
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Wagon,1991,177.0,6.0,4.0,20,15,617,2000
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,1991,158.0,6.0,4.0,22,17,617,2000
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,1991,177.0,6.0,4.0,20,15,617,2105
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,1991,177.0,6.0,4.0,18,15,617,2199
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,1991,177.0,6.0,4.0,22,16,617,2000
Mercedes-Benz,300-Class,regular unleaded,MANUAL,rear wheel drive,"Luxury,Performance",Compact,Convertible,1991,228.0,6.0,2.0,21,14,617,3552
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Coupe,1991,217.0,6.0,2.0,22,15,617,2179
Mercedes-Benz,300-Class,diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Midsize,Sedan,1991,121.0,5.0,4.0,30,23,617,2000
Mercedes-Benz,300-Class,diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Midsize,Sedan,1992,121.0,5.0,4.0,29,23,617,2000
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,1992,228.0,6.0,4.0,17,14,617,2377
Mercedes-Benz,300-Class,regular unleaded,MANUAL,rear wheel drive,"Luxury,Performance",Compact,Convertible,1992,228.0,6.0,2.0,21,15,617,3814
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,1992,177.0,6.0,4.0,19,15,617,2207
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Wagon,1992,177.0,6.0,4.0,20,15,617,2000
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Coupe,1992,217.0,6.0,2.0,21,15,617,2248
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,1992,177.0,6.0,4.0,22,16,617,2065
Mercedes-Benz,300-Class,diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Large,Sedan,1992,148.0,6.0,4.0,22,18,617,2547
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,1992,177.0,6.0,4.0,18,15,617,2282
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,1992,158.0,6.0,4.0,23,18,617,2000
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,1993,177.0,6.0,4.0,19,15,617,2544
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Coupe,1993,217.0,6.0,2.0,22,17,617,2397
Mercedes-Benz,300-Class,diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Midsize,Sedan,1993,121.0,5.0,4.0,30,23,617,2000
Mercedes-Benz,300-Class,regular unleaded,MANUAL,rear wheel drive,"Luxury,Performance",Compact,Convertible,1993,228.0,6.0,2.0,21,14,617,4174
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,1993,217.0,6.0,4.0,22,17,617,2187
Mercedes-Benz,300-Class,diesel,AUTOMATIC,rear wheel drive,"Diesel,Luxury",Large,Sedan,1993,148.0,6.0,4.0,22,18,617,2729
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,1993,177.0,6.0,4.0,19,15,617,2433
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Midsize,Sedan,1993,194.0,6.0,4.0,23,17,617,2247
Mercedes-Benz,300-Class,regular unleaded,AUTOMATIC,rear wheel drive,Luxury,Large,Sedan,1993,228.0,6.0,4.0,18,14,617,2540
Mitsubishi,3000GT,regular unleaded,MANUAL,front wheel drive,"Hatchback,Performance",Compact,2dr Hatchback,1997,218.0,6.0,2.0,23,17,436,3941
Mitsubishi,3000GT,regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,1997,161.0,6.0,2.0,22,17,436,3295
Mitsubishi,3000GT,regular unleaded,MANUAL,all wheel drive,"Hatchback,Factory Tuner,Performance",Compact,2dr Hatchback,1997,320.0,6.0,2.0,22,16,436,6008
Mitsubishi,3000GT,regular unleaded,MANUAL,all wheel drive,"Hatchback,Factory Tuner,Performance",Compact,2dr Hatchback,1998,320.0,6.0,2.0,22,16,436,6710
Mitsubishi,3000GT,regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,1998,161.0,6.0,2.0,22,17,436,3701
Mitsubishi,3000GT,regular unleaded,MANUAL,front wheel drive,"Hatchback,Performance",Compact,2dr Hatchback,1998,218.0,6.0,2.0,23,17,436,4671
Mitsubishi,3000GT,regular unleaded,MANUAL,front wheel drive,"Hatchback,Performance",Compact,2dr Hatchback,1999,218.0,6.0,2.0,23,17,436,5306
Mitsubishi,3000GT,regular unleaded,MANUAL,all wheel drive,"Hatchback,Factory Tuner,Performance",Compact,2dr Hatchback,1999,320.0,6.0,2.0,22,16,436,7600
Mitsubishi,3000GT,regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,1999,161.0,6.0,2.0,22,17,436,4090
Chrysler,300,regular unleaded,AUTOMATIC,all wheel drive,0,Large,Sedan,2015,300.0,6.0,4.0,27,18,1013,37570
Chrysler,300,regular unleaded,AUTOMATIC,rear wheel drive,0,Large,Sedan,2015,292.0,6.0,4.0,31,19,1013,31695
Chrysler,300,regular unleaded,AUTOMATIC,all wheel drive,0,Large,Sedan,2015,292.0,6.0,4.0,27,18,1013,44895
Chrysler,300,regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,2015,300.0,6.0,4.0,31,19,1013,35070
Chrysler,300,regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,2015,292.0,6.0,4.0,31,19,1013,42395
Chrysler,300,regular unleaded,AUTOMATIC,all wheel drive,0,Large,Sedan,2016,300.0,6.0,4.0,27,18,1013,38095
Chrysler,300,regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,2016,300.0,6.0,4.0,31,19,1013,35595
Chrysler,300,regular unleaded,AUTOMATIC,all wheel drive,0,Large,Sedan,2016,292.0,6.0,4.0,27,18,1013,45190
Chrysler,300,regular unleaded,AUTOMATIC,rear wheel drive,0,Large,Sedan,2016,292.0,6.0,4.0,31,19,1013,32260
Chrysler,300,regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,2016,292.0,6.0,4.0,31,19,1013,42690
Chrysler,300,regular unleaded,AUTOMATIC,all wheel drive,0,Large,Sedan,2017,292.0,6.0,4.0,27,18,1013,41135
Chrysler,300,regular unleaded,AUTOMATIC,all wheel drive,0,Large,Sedan,2017,300.0,6.0,4.0,27,18,1013,38670
Chrysler,300,regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,2017,292.0,6.0,4.0,30,19,1013,38635
Chrysler,300,regular unleaded,AUTOMATIC,rear wheel drive,Performance,Large,Sedan,2017,300.0,6.0,4.0,30,19,1013,36170
Chrysler,300,regular unleaded,AUTOMATIC,rear wheel drive,0,Large,Sedan,2017,292.0,6.0,4.0,30,19,1013,32340
Chrysler,300M,premium unleaded (required),AUTOMATIC,front wheel drive,Performance,Large,Sedan,2002,250.0,6.0,4.0,24,16,1013,32065
Chrysler,300M,premium unleaded (required),AUTOMATIC,front wheel drive,Performance,Large,Sedan,2003,255.0,6.0,4.0,25,16,1013,32315
Chrysler,300M,regular unleaded,AUTOMATIC,front wheel drive,Performance,Large,Sedan,2003,250.0,6.0,4.0,25,16,1013,28885
Chrysler,300M,regular unleaded,AUTOMATIC,front wheel drive,Performance,Large,Sedan,2004,250.0,6.0,4.0,25,16,1013,29185
Chrysler,300M,premium unleaded (required),AUTOMATIC,front wheel drive,Performance,Large,Sedan,2004,255.0,6.0,4.0,25,16,1013,32615
Nissan,300ZX,regular unleaded,MANUAL,rear wheel drive,Performance,Compact,Convertible,1994,222.0,6.0,2.0,22,16,2009,2847
